"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat","weekend"
0,250.566813921417,"Entire home/apt","0","0",3,"1",1,0,10,99,"1",1.73289338101755,0.212627063027389,118.646831243564,8.49697884877633,185.096719507239,4.42487113562592,16.365,48.223,"0"
1,156.604258700886,"Entire home/apt","0","0",3,"0",0,0,10,97,"1",4.80791175977424,0.228253103479672,80.1450154862244,5.73964339615046,85.7276001576257,2.04938036975379,16.33356,48.17459,"0"
2,283.056354159362,"Entire home/apt","0","0",5,"1",0,1,10,95,"2",2.8117726717374,0.244162866746506,101.248112006733,7.25095695504647,151.364287590952,3.61847292004324,16.336,48.211,"0"
3,301.755370123647,"Entire home/apt","0","0",4,"1",0,1,10,94,"2",3.24059490441701,0.610429908574643,92.4739376306306,6.62258809506262,129.863830958336,3.1044889325922,16.33006,48.20921,"0"
4,150.760816212047,"Entire home/apt","0","0",2,"1",0,1,10,96,"1",2.24114560133697,1.11950667932144,124.256767159832,8.89873847711119,154.34897145937,3.68982394956711,16.38867,48.19104,"0"
5,162.447701189725,"Private room","0","1",2,"1",1,0,10,99,"1",4.61196129750926,0.199926337640543,52.0779407025087,3.72959948444513,75.5155422954141,1.80525373050195,16.39755,48.24682,"0"
6,196.339667624991,"Entire home/apt","0","0",3,"1",0,1,9,91,"1",2.37154672064978,0.452411779628955,125.413624508642,8.98158765496838,206.64483048672,4.93999433475232,16.34236,48.20436,"0"
7,107.753079494192,"Private room","0","1",2,"0",0,0,8,92,"1",3.6291031592173,0.473159030416142,62.4595792992455,4.47308806014106,93.8109325883672,2.24261828584261,16.37837,48.24102,"0"
8,196.339667624991,"Entire home/apt","0","0",4,"1",0,1,9,86,"1",2.30134544217023,0.504317716012477,129.360189857019,9.26422379399538,217.611746354097,5.20216640132152,16.3434,48.20412,"0"
9,212.233831194633,"Entire home/apt","0","0",2,"1",1,0,10,97,"1",2.01113664380809,0.679079890798431,145.349380882714,10.4093013028543,237.989063706752,5.68930093085449,16.34682,48.2062,"0"
10,235.60760114999,"Entire home/apt","0","0",2,"1",1,0,10,97,"1",1.89006143110227,0.684780588756769,155.411435425759,11.1299026348188,265.423856133181,6.34514951338351,16.34843,48.20637,"0"
11,251.501764719632,"Entire home/apt","0","0",2,"0",0,1,9,90,"1",1.3833728671018,0.134837774654781,128.350161340689,9.19188986943992,210.45946950875,5.03118604331607,16.38027,48.22016,"0"
12,251.501764719632,"Entire home/apt","0","0",2,"0",0,1,10,100,"1",1.59029296457804,0.316954029275263,116.124533545965,8.31634267027766,184.811332142151,4.41804874397247,16.38168,48.22179,"0"
13,129.95816095178,"Entire home/apt","0","0",2,"0",0,1,9,89,"1",2.86654401508542,0.630935214474827,106.463608430288,7.62446851310779,155.803929462285,3.72460577437624,16.35247,48.18698,"0"
14,270.200780683917,"Entire home/apt","0","0",4,"0",0,1,10,87,"1",1.2701372394014,0.0447239011550993,140.573384960913,10.0672648919021,231.50878596007,5.53438519799618,16.38021,48.21908,"0"
15,456.957202627212,"Entire home/apt","0","0",6,"0",0,1,9,88,"2",3.64503344911776,1.11251895267142,75.1975677419692,5.38532833861585,107.623825570464,2.57282549653053,16.3287,48.22165,"0"
16,300.352943926326,"Entire home/apt","0","0",4,"1",0,1,10,97,"1",1.34595025660188,0.354783098773098,145.252595289344,10.402369932407,218.586950527447,5.22547936337448,16.39134,48.20589,"0"
17,155.435570203118,"Private room","0","1",2,"0",1,0,10,88,"1",1.65193655055371,0.242090786296544,166.677577193346,11.9367355464369,261.837632181067,6.25941823249508,16.36667,48.19442,"0"
18,170.6285206741,"Entire home/apt","0","0",2,"1",1,0,10,99,"1",5.10290455931931,0.502351269953298,94.0035832326246,6.73213477397548,83.6907280689456,2.00068746727471,16.30749,48.19626,"0"
19,463.969333613819,"Entire home/apt","0","0",2,"0",0,0,10,100,"1",1.23271744763082,0.47137390592855,160.805722945498,11.5162184468724,249.847047654786,5.97277462524548,16.38434,48.20004,"0"
20,182.315405651778,"Private room","0","1",2,"1",1,0,10,99,"1",1.53610519274282,0.236701650646847,193.330124825373,13.8454770705188,303.953999311492,7.26624049141446,16.353,48.209,"0"
21,186.522684243742,"Entire home/apt","0","0",2,"1",1,0,10,98,"0",2.2017176009137,0.49249392053662,138.506671524065,9.91925571057532,237.095707507567,5.66794460390213,16.34588,48.20164,"0"
22,237.477502746418,"Entire home/apt","0","0",2,"1",0,1,9,89,"0",1.19402951037635,0.583606509555921,150.062067669756,10.7468037842159,242.125874515758,5.78819438931798,16.38937,48.21079,"0"
23,157.5392094991,"Entire home/apt","0","0",2,"0",1,0,10,94,"1",3.5179967605091,0.535754796778978,94.1998976275729,6.74619397171471,121.280506523852,2.89929834553604,16.34423,48.18374,"0"
24,165.720028983475,"Entire home/apt","0","0",4,"0",0,1,8,79,"1",2.65968286717705,0.445975226401031,85.2241947071637,6.10339249890458,131.865234558016,3.15233393515376,16.35812,48.23008,"0"
25,204.286749409812,"Entire home/apt","0","0",2,"0",1,0,10,96,"1",1.97402883379394,0.584992784755661,134.361425392451,9.62239090319598,204.917820646425,4.89870891373779,16.34831,48.21384,"0"
26,160.110324194189,"Entire home/apt","0","0",6,"0",0,0,9,92,"2",4.3463334898052,0.130430217085224,108.170618672765,7.74671728935358,103.986766370146,2.48587896221651,16.32756,48.18447,"0"
